"","1. To what extent do you agree with the following statement: The United States is welcoming to international students.","2. To what extent do you agree or disagree with the following statement:The Trump administration's policy to revoke international students’ visas is appropriate.","3. To what extent do you agree with the following statement: U.S. universities are committed to creating inclusive environments for international students (for example, providing language support, cultural events, and counseling services).","4. How important is the overall reputation of a US university when you consider applying for graduate studies?","5. During the Trump era, did your perception of US universities’ academic reputation change?","6. To what extent do you agree with the following statement: The reputation of U.S. universities has been influenced by government policies on visas for international students and visitors.","7. Which of the following support services in the U.S. college system would encourage you to apply?","8. How confident were you in the U.S. college system’s ability to support international graduate students during Trump’s era?","9. How many of your close friends or classmates have you heard are applying (or have applied) to U.S. graduate programs?","10. How often do you and your close friends or classmates discuss policies from the Trump administration?","11. Do you feel that your close friends’ or classmates’ attitudes toward applying to U.S. graduate schools changed after Donald Trump’s second term (After Jan. 2025)?","12. Which college are you in?","13. What is your gender?","14. What is your student status?","15. What is your current level of education?","16. How many years have you attended NCCU?","17. Have you studied in the United States for more than 6 months?","18. What is your family’s total annual income (in USD)?","19. What is your current continent of residence?","20. What is the highest level of education attained by either of your parents/guardians?","21. What was your last semester's GPA?","22. What is your religious affiliation, if any?","23. Do you plan to apply to graduate schools in the United States?"
"283",4,5,3,5,2,2,"Immigration consulting services, Visa extension support, Housing/rental advice services, Part-time job search platform, Comprehensive health insurance, Orientation programs, Scholarships or other financial support, Introduction to the local healthcare system, Introduction to the local banking system, Course selection guidance, Academic tutoring resources",4,"1-2","Once a month","I’m not sure","International College of Innovation","Male","Domestic student","Undergraduate","1-2","No","Less than 24,999","Eastern Asia","Bachelor's Degree","Above 4","No religion","Probably yes"
"284",4,1,3,4,4,4,"Immigration consulting services, Visa extension support, Housing/rental advice services, Part-time job search platform, Student buddy or mentoring system, Scholarships or other financial support, Introduction to the local healthcare system, Introduction to the local banking system, Course selection guidance, Academic tutoring resources",4,"3-5","Once a month","No, their attitudes stayed the same","International College of Innovation","Male","Domestic student","Undergraduate","2-3","No","25,000-49,999","Eastern Asia","Bachelor's Degree","3~3.99","No religion","Probably not"
"285",2,3,3,4,3,3,"Immigration consulting services, Visa extension support, Housing/rental advice services, Student buddy or mentoring system, Scholarships or other financial support, Introduction to the local healthcare system, Course selection guidance",3,"None","Once a week","No, their attitudes stayed the same","ici","Male","Domestic student","Undergraduate","1-2","No","25,000-49,999","Eastern Asia","Master's Degree","2~2.99","Christianity (Protestant)","Definitely not"
"286",3,3,4,4,3,4,"Immigration consulting services, Visa extension support, Housing/rental advice services, Comprehensive health insurance, Scholarships or other financial support, Introduction to the local banking system, Course selection guidance, Academic tutoring resources",3,"1-2","Once a year","Yes, they became more negative","International College of Innovation","Male","Domestic student","Undergraduate","Less than 1","No","Less than 24,999","Eastern Asia","Bachelor's Degree","Above 4","No religion","Probably yes"
"287",2,NA,2,5,2,5,"Immigration consulting services, Visa extension support, Housing/rental advice services, Part-time job search platform, Introduction to the local healthcare system, Academic tutoring resources",2,"1-2","Once a month","I’m not sure","College of Social Sciences","Female","Domestic student","Undergraduate","2-3","No","50,000-74,999","Eastern Asia","Master's Degree","Above 4","Christianity (Protestant)","Probably yes"
"288",5,1,5,5,3,5,"Non-English-language counseling services, Visa extension support, Housing/rental advice services, Part-time job search platform, Student buddy or mentoring system, Comprehensive health insurance, Orientation programs, Scholarships or other financial support, Academic tutoring resources",3,"3-5","Once a week","Yes, they became more negative","College of Foreign Languages & Literature","Male","Domestic student","Undergraduate","3-4","No","50,000-74,999","Eastern Asia","High School or lower","3~3.99","No religion","Not sure"
"289",3,2,4,4,3,2,"Housing/rental advice services, Part-time job search platform, Scholarships or other financial support, Introduction to the local healthcare system, Course selection guidance, Academic tutoring resources",2,"None","Once a month","I’m not sure","International College of Innovation","Female","Domestic student","Undergraduate","3-4","No","Less than 24,999","Eastern Asia","High School or lower","Above 4","Buddhism, Taoism","Definitely not"
"290",2,1,3,4,2,5,"Visa extension support, Housing/rental advice services, Part-time job search platform, Student buddy or mentoring system, Comprehensive health insurance, Orientation programs, Scholarships or other financial support, Introduction to the local healthcare system, Introduction to the local banking system, Course selection guidance, Academic tutoring resources",2,"1-2","Once a week","Yes, they became more negative","College of Social Sciences","Male","Exchange student","Undergraduate","Less than 1","No","25,000-49,999","Europe","Master's Degree","Above 4","No religion","Definitely not"
"291",3,2,3,5,3,3,"Immigration consulting services, Visa extension support, Housing/rental advice services, Part-time job search platform, Student buddy or mentoring system, Comprehensive health insurance, Orientation programs, Scholarships or other financial support, Introduction to the local healthcare system, Introduction to the local banking system, Course selection guidance, Academic tutoring resources",3,"None","Once a month","I’m not sure","International College of Innovation","Male","Domestic student","Undergraduate","1-2","Yes","25,000-49,999","Eastern Asia","Master's Degree","3~3.99","Christianity (Protestant)","Definitely yes"
"292",2,2,1,1,3,3,"Non-English-language counseling services, Comprehensive health insurance, Scholarships or other financial support, Academic tutoring resources",3,"None","Never","I’m not sure","International College of Innovation","Male","Overseas Chinese student","Undergraduate","1-2","No","25,000-49,999","Southeast Asia","High School or lower","3~3.99","Taoism","Definitely not"
"293",4,2,4,4,3,4,"Immigration consulting services, Visa extension support, Housing/rental advice services, Part-time job search platform, Student buddy or mentoring system, Comprehensive health insurance, Orientation programs, Scholarships or other financial support, Course selection guidance, Academic tutoring resources",2,"1-2","Once a week","No, their attitudes stayed the same","College of Commerce","Male","Domestic student","Undergraduate","3-4","No","Higher than 100,000","Eastern Asia","High School or lower","2~2.99","No religion","Probably not"
"294",4,2,2,5,2,4,"Immigration consulting services, Visa extension support, Housing/rental advice services, Part-time job search platform, Student buddy or mentoring system, Comprehensive health insurance, Orientation programs, Scholarships or other financial support, Introduction to the local healthcare system, Introduction to the local banking system, Course selection guidance",3,"3-5","Once a month","Yes, they became more negative","College of Social Sciences","Female","International student","Undergraduate","1-2","No","75,000-99,999","Southeast Asia","Master's Degree","3~3.99","Buddhism","Probably yes"
"295",3,3,3,3,3,3,"Student buddy or mentoring system, Comprehensive health insurance",3,"3-5","Once a month","I’m not sure","International College of Innovation","Female","International student","Undergraduate","3-4","No","50,000-74,999","Eastern Asia","High School or lower","3~3.99","Christianity (Catholic)","Not sure"
"296",2,1,2,2,1,5,NA,1,"None","Almost every day","Yes, they became more negative","International College of Innovation","Male","International student","Undergraduate","1-2","No","50,000-74,999","Europe","Master's Degree","Above 4","No religion","Not sure"
"297",2,1,3,4,2,2,"Immigration consulting services, Visa extension support, Housing/rental advice services, Student buddy or mentoring system, Comprehensive health insurance, Scholarships or other financial support, Introduction to the local banking system, Course selection guidance",3,"1-2","Once a month","Yes, they became more negative","International College of Innovation","Female","Domestic student","Undergraduate","3-4","No","50,000-74,999","Eastern Asia","Master's Degree","Above 4","Folk religion / Indigenous belief","Probably not"
"298",2,2,5,5,3,4,"Immigration consulting services, Non-English-language counseling services, Visa extension support, Housing/rental advice services, Part-time job search platform, Student buddy or mentoring system, Comprehensive health insurance, Orientation programs, Scholarships or other financial support, Introduction to the local healthcare system, Introduction to the local banking system, Course selection guidance, Academic tutoring resources",2,"None","Never","I’m not sure","International College of Innovation","Female","Domestic student","Undergraduate","Less than 1","No","Higher than 100,000","Eastern Asia","Bachelor's Degree","Above 4","Buddhism, Taoism","Probably yes"
"299",1,2,4,4,4,4,"Visa extension support, Housing/rental advice services, Part-time job search platform, Scholarships or other financial support",1,"1-2","Once a week","Yes, they became more negative","International College of Innovation","Female","Domestic student","Undergraduate","3-4","No","75,000-99,999","Eastern Asia","Master's Degree","Above 4","No religion","Definitely not"
"300",4,3,4,5,3,4,"Housing/rental advice services, Part-time job search platform, Student buddy or mentoring system, Comprehensive health insurance, Scholarships or other financial support, Course selection guidance",3,"None","Once a year","I’m not sure","International College of Innovation","Female","Overseas Chinese student","Undergraduate","1-2","No","25,000-49,999","Southeast Asia","Bachelor's Degree","3~3.99","Taoism","Not sure"
"301",2,1,1,5,2,5,"Visa extension support, Housing/rental advice services, Part-time job search platform, Comprehensive health insurance, Orientation programs, Scholarships or other financial support, Introduction to the local healthcare system, Introduction to the local banking system, Course selection guidance, Academic tutoring resources",2,"1-2","Once a week","Yes, they became more negative","International College of Innovation","Male","International student","Undergraduate","Less than 1","No","Higher than 100,000","Southeast Asia","Bachelor's Degree","3~3.99","No religion","Probably not"
"302",4,5,3,5,2,2,"Immigration consulting services, Visa extension support, Housing/rental advice services, Part-time job search platform, Comprehensive health insurance, Orientation programs, Scholarships or other financial support, Introduction to the local healthcare system, Introduction to the local banking system, Course selection guidance, Academic tutoring resources",4,"1-2","Once a month","I’m not sure","International College of Innovation","Male","Domestic student","Undergraduate","1-2","No","Less than 24,999","Eastern Asia","Bachelor's Degree","Above 4","No religion","Probably yes"
"303",4,1,3,4,4,4,"Immigration consulting services, Visa extension support, Housing/rental advice services, Part-time job search platform, Student buddy or mentoring system, Scholarships or other financial support, Introduction to the local healthcare system, Introduction to the local banking system, Course selection guidance, Academic tutoring resources",4,"3-5","Once a month","No, their attitudes stayed the same","International College of Innovation","Male","Domestic student","Undergraduate","2-3","No","25,000-49,999","Eastern Asia","Bachelor's Degree","3~3.99","No religion","Probably not"
"304",2,3,3,4,3,3,"Immigration consulting services, Visa extension support, Housing/rental advice services, Student buddy or mentoring system, Scholarships or other financial support, Introduction to the local healthcare system, Course selection guidance",3,"None","Once a week","No, their attitudes stayed the same","ici","Male","Domestic student","Undergraduate","1-2","No","25,000-49,999","Eastern Asia","Master's Degree","2~2.99","Christianity (Protestant)","Definitely not"
